model_name,accuracy,precision,recall,f1,roc_auc,cv_f1
XGBClassifier,0.9981064825128091,0.9978714346530438,0.9985090521831735,0.9981901415948047,0.9999293837463763,0.9975209055882269
LinearSVC,0.9973267988416128,0.9980806142034548,0.9968051118210862,0.9974424552429667,0.9999644929541638,0.9974968612792227
LogisticRegression,0.9955446647360214,0.9974353494336397,0.9940362087326944,0.9957328781736718,0.9998967112966363,0.995844912434069
MultinomialNB,0.9642459345065716,0.9655172413793104,0.9661341853035144,0.9658256148195464,0.9928159897079298,0.9664469738561863
